trials,paths
0,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
1,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
2,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
3,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
4,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
5,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
6,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
7,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
8,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
9,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
10,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
11,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
12,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
13,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
14,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
15,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
16,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
17,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
18,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
19,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
20,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
21,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
22,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
23,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
24,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
25,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
26,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
27,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
28,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
29,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
