trials,paths
0,"[(2, 1, 'NE'), (3, 2, 'SW'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
1,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'S'), (3, 2, 'SW'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
2,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
3,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
4,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
5,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
6,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'NW')]"
7,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
8,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
9,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
